"Government revenue, percent of GDP (% of GDP)",Country code,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
United Kingdom,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.28390026,11.54109955,12.18060017,12.13589954,11.35849953,10.61569977,10.44130039,10.32629967,9.817130089,9.464870453,10.19810009,10.80410004,11.10389996,12.42640018,11.46469975,10.6164999,9.998279572,3.644799948,10.00520039,9.698829651,10.66819954,9.909749985,9.965040207,9.929100037,10.01539993,10.85400009,10.71630001,10.03170013,9.893050194,10.17660046,10.03100014,9.289699554,9.142239571,8.535550117,8.267390251,7.598889828,7.559790134,7.661829948,8.008859634,8.190469742,7.029280186,7.092339993,6.860770226,6.334350109,6.412089825,6.630660057,6.948530197,7.064229965,7.471030235,6.977290154,6.31456995,6.873980045,7.025720119,6.555130005,6.837609768,7.296420097,7.394139767,7.115690231,7.067609787,7.112780094,7.028409958,7.047890186,7.018680096,7.251289845,7.099020004,7.602499962,7.388160229,7.709159851,7.295790195,7.422860146,7.814939976,7.982230186,8.700110435,8.213899612,8.16631031,7.949379921,7.920289993,7.836750031,7.668179989,6.548980236,9.936650276,8.557559967,8.558480263,8.419710159,9.981539726,12.29290009,17.83589935,17.34889984,18.09930038,25.80240059,25.16090012,23.58320045,21.95610046,21.17720032,19.77770042,18.94619942,19.9871006,19.83349991,19.55380058,18.56049919,19.67510033,21.25130081,21.18670082,20.56089973,19.23660088,19.32159996,19.61339951,19.34440041,19.46839905,17.3220005,16.28019905,18.56850052,25.05389977,28.95759964,33.25669861,35.99530029,38.24710083,34.72800064,36.26810074,35.61380005,33.49480057,30.78520012,31.60880089,29.79789925,32.82139969,28.22859955,31.57279968,31.57869911,32.10979843,32.03139877,30.38369942,32.04320145,33.29990005,31.95459938,31.02420044,32.51169968,34.13249969,35.50479889,38.0461998,40.24129868,44.60739899,42.67279816,40.61920166,39.21640015,43.72060013,43.99819946,43.59989929,42.35820007,39.5345993,39.34529877,41.98040009,44.16600037,45.09270096,44.11660004,43.88710022,43.12390137,42.07640076,40.88209915,40.72809982,40.4469986,39.30730057,39.61719894,38.49380112,37.07419968,37.57740021,37.98709869,38.01539993,38.33879852,39.3606987,39.79359818,40.35329819,40.6507988,39.02399826,38.72050095,39.49269867,40.67179871,41.45420074,41.14260101,42.85319901,40.0625,40.28129959,36.12538269,36.10355281,36.49608361,35.65535615,35.83102307,36.31987628,36.66375027,36.60110282,36.29094314,36.81374632,38.02857268,39.54290405,38.77511125,38.29109828
United States,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.723809958,4.444560051,4.067309856,3.271919966,3.540499926,4.56814003,5.055870056,4.775459766,5.392399788,6.490139961,5.41203022,6.784019947,7.262829781,9.329219818,12.63700008,21.75519943,22.48410034,19.58160019,17.82600021,16.84880066,15.55410004,13.93470001,15.73530006,18.98159981,18.84420013,18.8302002,15.7833004,17.03930092,17.34770012,17.04540062,15.64330006,28.0984993,28.13080025,28.3321991,28.87660027,27.75230026,27.72730064,28.36400032,28.78590012,30.30060005,31.42790031,30.24029922,29.70229912,30.90309906,31.05929947,31.65329933,29.82889938,30.53310013,30.81459999,30.90250015,31.25149918,31.5746994,32.30410004,32.02560043,31.38969994,31.30809975,31.81819916,32.02370071,32.76520157,32.62419891,32.92150116,32.85570145,32.94340134,32.76300049,33.02339935,33.4076004,33.7826004,34.26050186,34.55329895,34.92900085,34.88479996,35.35329819,32.25717438,29.87701641,29.26645689,29.47550477,30.85292042,31.65565013,31.64870719,30.53160323,28.22183236,28.77009896,29.08041007,29.10896121,31.22160696,31.29793206,31.50143755,30.97670288,30.39988069,30.01447727,30.01354923,30.60107063,31.76734462,33.06962302,29.85167646,29.88656061
Uruguay,URY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.734900475,10.03289986,10.8696003,10.58040047,10.15229988,10.69849968,12.16759968,10.98400021,10.16069984,10.63799953,10.4762001,12.04819965,10.58819962,11.19999981,12.25300026,13.81029987,14.26589966,22.38319969,21.55410004,20.10560036,18.60149956,22.15539932,22.79190063,22.38279915,21.14870071,22.23430061,23.85250092,21.31780052,22.91430092,20.66419983,22.75569916,24.71910095,23.78089905,24.5048008,23.90990067,21.63190079,23.10309982,24.22330093,27.25849915,27.13019943,25.07040024,25.2105999,26.58419991,26.5814991,24.46123748,23.80604787,24.96473219,24.41187991,25.53708126,25.74422413,25.99796908,26.18389115,26.59561264,24.98696334,25.79973267,27.01300877,25.9948497,25.5053448,27.10459254,26.49590626,26.49408762,26.98661402,27.21715449,28.45460577,27.87152197,28.15233196,27.60078343,27.47519597,27.38914263,27.92538143
Uzbekistan,UZB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.78547858,32.09105191,30.73491982,29.19518603,27.3386667,28.31262348,26.66621192,25.66505473,24.54806401,27.43692949,28.38787732,32.45581306,29.29465338,28.96678121,28.76165645,29.8143113,27.37842242,26.76327946,24.28960018,24.0080076,20.93113931,23.83670585,24.05161225,23.07682776,23.33734547,27.6948357,25.91361771,25.22343247
Vanuatu,VUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.40425001,29.50898005,22.53142289,22.8615084,25.37538491,22.68028635,21.70573576,21.24028793,23.31271721,19.16990429,19.00789438,18.70188493,17.49400658,19.31350727,20.1514941,20.59096936,22.72619003,27.76038622,26.71625275,25.70542803,22.93636166,22.75498715,22.66222173,24.74526956,33.76203863,34.48944974,35.93527037,39.50868802,42.63080503,41.42877565,46.77013778,35.54605466,40.63884017,38.74289719
Venezuela,VEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.833330154,6.89989996,8.661419868,8.955220222,8.961910248,10.29319954,8.762639999,9.329999924,10.87300014,10.19559956,8.43900013,10.05430031,8.708209991,9.856570244,11.2652998,9.589249611,12.69690037,13.76200008,12.65979958,12.86149979,13.10109997,12.60389996,12.66740036,10.56599998,11.77960014,14.11699963,12.03190041,12.82660007,14.13220024,17.07029915,15.77079964,16.35149956,18.33569908,15.33329964,16.625,15.59329987,16.00300026,23.0279007,19.52599907,20.47579956,19.58849907,9.896300316,19.70999908,20.61249924,19.81389999,19.11840057,19.37750053,20.33090019,19.5,18.82830048,18.26539993,20.41580009,21.72789955,21.99180031,38.02859879,34.65930176,28.23999977,25.94490051,23.73139954,19.20479965,26.37800026,34.38600159,28.86599922,26.55170059,25,27.3118,22.29039955,17.67239952,23.96504887,31.61862178,35.77051404,31.61562058,24.27933436,24.74608286,31.02964791,27.00511292,35.66987033,33.56600782,24.30075792,26.84739303,32.74265551,27.30531074,29.50752603,32.34684435,34.38490099,37.62501403,37.66198207,33.13400031,31.41839446,24.58353171,26.35918794,31.1166723,28.15120753,26.09939803,21.79819073,14.8850261,11.22322607,8.493086688,6.884389063,10.08900287,4.530966569,7.283750606,9.849284766,11.87268907,13.98254603
Vietnam,VNM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.91766487,15.45640664,16.18299003,16.9998565,17.89233349,19.63750968,19.29105112,19.67152548,20.73441713,20.55793955,20.9328179,20.15049331,21.46968574,20.32286307,18.00419845,18.49299767,17.73823892,19.1903699,19.06670584,19.56529989,19.4587076,19.41451297,18.38997855,18.69287495,18.86778761,17.06349718,17.58008148
Yemen,YEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.36275159,18.98121863,13.72512657,12.96680061,11.15478604,18.38796165,29.77980684,32.72207846,26.49912001,28.30852783,37.77594538,33.27619681,30.22736337,31.11591737,32.0096431,34.94741002,38.554899,33.16634606,36.71527835,25.00391765,26.14503989,25.3332181,29.90282955,23.90018131,23.64399422,10.68038786,7.561308416,3.487907256,6.41693814,7.321758523,6.345413616,7.330839618,10.02071609,6.124607124,6.435130067
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
