"Government primary balance, percent of GDP (% of GDP)",Country code,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Ukraine,UKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.249302217,-1.573757928,-3.625063464,-0.409032637,7.242964291,-0.177331602,-1.035308176,-0.531285423,0.096768607,-3.482783369,-1.525173549,-0.732668934,-1.458868772,-2.624763901,-5.104469763,-4.141396735,-0.792313178,-2.38490349,-2.33415552,-1.152709739,3.003473956,1.635976824,1.39023112,1.160768939,0.954581125,-3.02372915,-1.128291471,-12.5072682,-15.51030574,-13.22736664
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.447710052,3.600115959,-2.86990763,-1.782939561,3.586201977,0.923693204,6.711955257,0.997147443,1.307224793,10.72792922,1.298193603,-1.209839331,2.356266975,6.455929691,16.02413418,20.15143301,17.13283717,17.67096605,-5.949815415,0.826022478,5.227913784,8.887663865,8.387548372,2.004350181,-6.155410609,-2.809792917,-0.029104643,3.880321253,2.779517798,-2.123356937,4.259524204,10.31106008,6.450772691,6.967774261
United Kingdom,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.666180134,6.25,6.535950184,6.865219593,6.464209557,6.330109596,6.126080513,5.551660061,5.232480526,4.972620964,5.298399925,5.353730202,5.129199982,6.460099697,6.117859364,5.776189804,5.403149605,-1.427690268,4.713490486,5.140310287,5.619149208,5.345600128,5.29199028,4.929650307,0.785970211,0.493140221,3.305870295,3.70138979,3.834810495,3.778340101,3.264679909,3.138009787,3.355869293,3.348210096,3.414240122,3.076920033,3.052360296,2.543310165,2.545789957,3.75688982,2.819550037,2.900160074,3.007889986,2.34375,2.445139885,3.212850094,3.34491992,3.108330011,3.19391036,2.64241004,2.351579666,2.463180065,2.395490408,2.27376008,2.214449644,1.701959968,2.345279694,2.266240358,2.240569711,2.142860293,1.966500044,1.879920125,1.824719906,1.717020035,1.687589884,1.883249998,1.723690033,1.81938982,1.472770095,0.537140608,-1.85618031,-1.610029459,-0.307489514,1.167209268,1.519190311,1.627060056,1.727139711,1.712560058,1.431459785,-0.218799949,2.748542726,1.437814713,1.119675338,1.070520937,-12.15057945,-27.94576097,-47.66954398,-44.83192182,-29.90426159,-0.624489784,10.39187002,9.100830078,10.97430038,11.39433956,9.891720772,9.269358635,9.562680244,10.32094002,10.66928101,9.489878654,9.893071175,10.2986412,9.555040359,10.29784966,8.226510525,7.357330799,6.792109966,7.189499855,6.361320019,1.006571054,-8.611331463,-28.96343946,-28.34464192,-29.66868043,-25.54198122,-26.14802837,-17.35293102,-10.61443043,4.381151199,7.349298954,4.531089306,5.859619379,2.645931721,1.331879616,2.260519743,3.470530272,4.409379721,2.51384902,2.037579775,2.961360455,0.944429398,4.208761215,2.934028387,-2.015309811,1.391471624,0.951219797,1.446690083,-1.488581896,0.914320707,4.146728516,6.645289898,5.263229609,2.076853514,-0.504369259,0.286329746,-1.016859055,-1.171440125,0.088439941,-2.228841305,-1.211292744,-0.76295948,-1.800901413,-0.39896822,-1.321050644,-1.265860081,-0.484387398,2.18161869,2.71851778,4.570901394,4.758728743,1.864031315,-0.011420488,-3.49849081,-4.930051565,-3.550277948,-2.343703032,-0.696289778,1.386129856,3.357399225,3.750028372,6.306597948,2.81217742,-0.082601309,-1.420429587,-1.507171273,-1.322002411,-0.669299603,-0.520378113,-2.712491512,-9.516401291,-7.39600873,-4.132528164,-4.51883773,-2.468786506,-2.829670005,-2.240547763,-0.837096973,0.224299658,0.227941778,-0.26433343,-11.15153607,-4.971514833,-0.246870285,-2.841229942,-2.913024217
United States,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.92479074,-4.733436108,-8.962790847,-11.72986746,-13.11523366,-13.72409153,-12.21294141,-11.22534811,-8.274059415,-9.371259689,-10.88212037,-8.70362258,-9.275411367,-15.5560354,-18.38964391,-12.24465084,-12.50654221,-4.324100256,-1.96450448,-2.232043743,-5.943055391,-6.264982343,-5.279643655,-3.77243638,-4.04834342,-3.87252748,-5.865276694,-4.468845248,-5.146854162,-7.054459095,-7.560571074,4.652828813,3.594840527,3.655653715,4.26571095,3.565419674,3.718975663,3.39185226,1.778147936,2.580781937,3.443249106,0.224410176,-1.253136516,-0.507741928,0.566626906,0.142400146,-3.930345893,-1.986176252,-0.979147315,-0.086311579,0.857397079,-0.406272292,0.547682524,-1.316417217,-1.669293165,-0.090970993,0.330292225,0.033766985,1.537383556,2.033378601,2.463968754,1.743891001,0.867852688,-0.463543177,0.042635918,1.300317526,1.846355915,2.930508137,4.10652256,5.255127192,5.416990042,6.077343464,2.710877274,-0.929051797,-2.112513039,-1.680503062,-0.371295785,0.739157185,0.020125395,-3.836438759,-10.60264504,-8.314782236,-6.8356205,-5.387471968,-2.076001108,-1.551885848,-1.188510522,-1.86666773,-2.27208713,-2.565784903,-2.987988612,-11.58634918,-8.769740766,-0.588859549,-4.21022239,-4.077110313
Uruguay,URY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.690892458,-0.546638846,-3.475532055,-3.967640787,-1.811983958,-0.36149171,0.381505489,1.61902982,0.79071784,-0.814310074,-7.211630106,-2.236639023,-2.788980246,0.454779387,1.679410934,0.969279051,0.076371551,-11.13855755,2.124780536,2.413908958,1.931531191,0.861649036,-1.147261381,0.312451243,-0.01832056,0.443669081,0.591258883,-1.142802739,-0.880697377,-0.639024409,0.414496223,2.977010345,3.704359882,3.782100908,3.38664533,3.414892329,1.38162436,1.11882426,1.80015012,1.839831632,-0.114942178,0.418864823,-0.50003813,0.246341401,-0.259009492,-0.155388593,0.516769406,-0.490401037,-2.076591818,-0.620324092,-0.500359923,-0.995084579,-0.966752963
Uzbekistan,UZB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.711657256,-2.463310091,-2.395128522,-3.071344212,-2.719983077,-5.846063377,-4.458068229,-3.382039602,-3.19041415,3.006781689,3.79815881,6.143443784,1.94328035,2.643027655,5.145573813,5.915662129,2.174740963,1.926434312,-0.249484426,0.727596641,1.081619294,1.699691107,-0.113999353,-2.671505787,-3.824201685,-3.297599965,-3.349023832,-1.370601849
Vanuatu,VUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.989163995,-1.441955214,-2.863204047,-0.849456957,-1.930424601,-1.225204195,-0.047294631,-5.998567803,0.20582519,-5.562559894,-2.575287967,-2.762016798,-0.430261478,1.725184977,2.666790287,1.180892757,0.891149004,0.538228956,-0.343203124,-2.115053234,-1.614832015,-1.031351944,0.528510852,2.198609918,-7.817634705,0.320516991,-0.767596193,7.169225273,3.68776175,-1.12503693,3.346869772,-5.654498636,-0.018413726,-1.472766627
Venezuela,VEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.60252887,1.919298023,1.597888321,0.56758523,0.748014912,0.274434701,1.665000074,-0.575776763,-0.263444446,-1.974319458,1.053752903,0.542050891,1.067130908,1.370735537,-2.216037763,-0.519065761,0.736661076,,,,,,,,,,,,0.163431878,-0.22006723,-0.228478154,-0.498587071,0.032666733,1.839974899,0.379422127,0.761000649,6.697084602,-4.861200598,-4.980761805,-4.061523449,-1.837030128,2.2766321,2.103099823,2.077789381,0.547326773,0.372500077,0.649994954,-0.182244524,-1.976069286,-0.899969131,1.117542684,0.750828683,2.23977381,2.947326213,1.242325246,2.969639301,-3.596130013,-3.633679986,-1.467290998,,,,,,,,,-5.845170088,4.465832219,8.859464633,1.884926356,-2.379252387,1.697751134,-6.058304554,0.342659431,12.83108417,5.584852892,-0.607904118,4.583663151,7.529973958,-1.195414383,3.734672202,5.382862172,6.226778772,7.069582741,0.482796851,-1.190504232,-2.014700398,-7.22173171,-3.172705125,-6.078733224,-6.547360443,-7.486775627,-7.487810827,-6.821438379,-8.060611844,-13.23470489,-30.28884049,-9.950797637,-4.899620744,-4.542868366,-4.274883134,-0.490767869,-2.931987325
Vietnam,VNM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.348175058,-0.787687942,-0.978658159,-1.458327441,-1.071340879,-1.737522317,0.579777883,-0.38340929,0.791502477,-0.938973859,0.368142383,-3.932303273,-1.323845178,-0.059515233,-4.483218792,-4.755081594,-3.664905081,-3.403241307,-1.625101673,-0.411266167,0.499611971,0.992414847,-1.537683475,-0.232775927,1.66955402,-0.852609953,-0.645193316
Yemen,YEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.315873424,-3.378715963,-9.314207296,-10.50452197,-11.50994707,-4.333224513,1.651010494,0.839862835,-4.742033561,3.478317142,8.307654793,4.788758325,1.290889757,-2.443849139,-0.046889202,0.331026856,3.498109967,-4.922904109,-2.138239369,-7.717014411,-1.660971031,-0.173290827,-0.872873748,-1.454628439,1.505728465,-2.57011843,-3.157918189,-4.67126599,-7.774599883,-5.65568662,-2.411985391,0.254359214,-1.133856743,-3.975788473,-0.368544362
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
